round,candidate,density_scale,hmf2_shift_km,total_score,return_distance,nose,ridge
1,26,1.035476262892,34.618852479516,0.385632453527882,0.31720209980576375,0.43750000000000067,0.5089814931735588
1,27,1.073378539109,36.170102736214,0.41575427103172496,0.401666279577927,0.2500000000000002,0.661689086319325
1,28,1.092336257985,32.518650165397,0.3718753394138082,0.37186358971969036,0.18750000000000044,0.6023768253398918
1,29,1.125269881774,35.810679166518,0.44009565128009476,0.5018540547132362,0.0,0.8203796059390742
1,30,1.157860316769,38.399183496688,0.5985297865373203,0.6444012534841518,0.18749999999999933,0.9861704856051843
1,31,1.18413376162,36.621783184829,0.6257290213684565,0.6644849516703725,0.2500000000000002,0.9888114897487579
1,32,1.222177261081,34.597815373967,0.6971033087989295,0.7068158734787436,0.43750000000000067,0.9948978919281013
1,33,1.143205056356,13.500247586688,0.08162308111711418,0.08326979572999078,0.06249999999999978,0.10099846732809648
1,34,1.161987328431,-5.188094362131,0.34500344941935046,0.342519573788709,0.18749999999999933,0.5487134191778031
1,35,1.200722688912,-9.337392974253,0.3868790324198998,0.35103007343126735,0.3125000000000011,0.5784374601635122
1,36,1.106631486994,3.427236335217,0.2604532492933432,0.2732854431182965,0.06249999999999978,0.47260627789140075
1,37,1.221780533242,4.719984807104,0.20499684397125897,0.11528736139497309,0.43750000000000067,0.16106897602011794
1,38,1.148952001902,-33.114016352522,0.704329936713686,0.8917381480658222,0.06249999999999978,0.9912447763874194
1,39,1.055556043348,-8.39913358832,0.6460552491010639,0.654914930612974,0.3750000000000009,0.9605101863196399
1,40,1.130813304269,1.938079345912,0.23350102219764543,0.2507676763929887,0.06249999999999978,0.39976900090750844
2,1,1.057326586272,12.309863329857,0.26831763244513407,0.22271109003705447,0.3125,0.3385076646237707
2,2,1.098180676436,15.506812819113,0.08056273721334689,0.05626429730953346,0.12499999999999956,0.091836868465518
2,3,1.102000297311,12.368353017252,0.12577055813857926,0.11176148163223876,0.12499999999999956,0.16525871620424024
2,4,1.053761094508,16.365400576992,0.20883720171503795,0.16181651110702278,0.3125,0.208565603030877
2,5,1.149646169039,14.35208355885,0.13664653029053525,0.13017078621054018,0.12499999999999956,0.16901298937369125
2,6,1.088614611707,17.757015398338,0.11011907559293596,0.07401616864860601,0.18750000000000044,0.11267591418101269
2,7,1.172133670686,11.10832964665,0.1275845411551913,0.095699466423732,0.18749999999999933,0.14037417311069425
2,8,1.11573713054,15.181981518525,0.06343043111365845,0.05893790322970328,0.06249999999999978,0.07694792168660852
2,9,1.095140548122,17.035397741177,0.07719050929717089,0.07041320627792158,0.06249999999999978,0.11419122922157035
2,10,1.129519635078,24.051426359942,0.24405617869795204,0.2624730536874884,0.06249999999999978,0.42035499584916725
2,11,1.071815204483,16.5845789716,0.13830343436711795,0.08898102768485593,0.2500000000000002,0.1343193457022357
2,12,1.146347403868,15.107548907064,0.1301602711358333,0.1413199390283286,0.06249999999999978,0.1840465233512632
2,13,1.151422177197,13.117661458521,0.11291328438345141,0.10159778365004767,0.12499999999999956,0.1289225168796265
2,14,1.088349558435,13.597569584082,0.14861458640961603,0.12122500190591487,0.18750000000000044,0.17532917680681367
2,15,1.119344323392,11.381797177758,0.09215153657924294,0.09272603930798708,0.06249999999999978,0.12763607479925043
2,16,1.110774080601,6.97770670811,0.1959885705124342,0.2072460264391575,0.06249999999999978,0.3318912798544882
2,17,1.127211418295,14.508220670953,0.04446994934315214,0.0546132844478477,0.0,0.07216321448417953
2,18,1.063508715504,15.060529507695,0.21449253467368173,0.16966995923193368,0.3125,0.21524528548059102
2,19,1.128330740597,11.859027372871,0.04072473674945625,0.05105358412377222,0.0,0.06322632740690763
2,20,1.095858531974,16.873745337359,0.07577490806865969,0.06882822181910284,0.06249999999999978,0.11147193034076591
2,21,1.130815762976,12.490712468418,0.015582846710211984,0.018868864516678966,0.0,0.02602485613019275
2,22,1.162227557671,13.337706038273,0.1520355403377707,0.12384756926639469,0.18749999999999933,0.1852218862062689
2,23,1.083294390316,19.883874925319,0.13218274768666838,0.10131886902080049,0.18750000000000044,0.14791184862613999
2,24,1.112400349217,14.739021942776,0.05775249937767914,0.049815458647683594,0.06249999999999978,0.0736449856072661
2,25,1.114901043791,16.202321884445,0.07733864140362229,0.07638809631459029,0.06249999999999978,0.09850094215298842
2,26,1.09707781264,24.626864132772,0.22023806579986105,0.2172303828269273,0.12499999999999956,0.3475567762252556
2,27,1.085531900799,13.282002873674,0.16146932069007147,0.1360736301885446,0.18750000000000044,0.19876912043185904
2,28,1.099583814254,20.23498857583,0.13332730167699838,0.1444590210372852,0.06249999999999978,0.1912492005324579
2,29,1.163720683736,6.283509094282,0.1364368123189682,0.1076229425702219,0.18749999999999933,0.15184596952673154
2,30,1.112320254471,17.192247702098,0.09322027406581072,0.09625167328813343,0.06249999999999978,0.12328426878668688
2,31,1.097156114113,7.143589304339,0.24302288206599768,0.2478971206193713,0.12499999999999956,0.3771473286267178
2,32,1.110524640022,12.43847009697,0.08618196219603122,0.08108697639623347,0.06249999999999978,0.1297956258905143
2,33,1.078057194369,12.976674722377,0.1992113020114925,0.16279841354446123,0.2500000000000002,0.23586087281019386
2,34,1.113511920378,11.624097387967,0.09831208992316401,0.09696972418012302,0.06249999999999978,0.14676870812048198
2,35,1.122774260553,12.352192478706,0.06096784635835852,0.05735199446988101,0.06249999999999978,0.06899624699962008
2,36,1.13676463137,8.416996107283,0.09084067851784297,0.11343521623613684,0.0,0.14225654793983855
2,37,1.108804206884,11.571277713024,0.10918739683882217,0.10769019886749916,0.06249999999999978,0.17166393730848845
2,38,1.131629262821,13.738397189706,0.04805074709580882,0.040576748584038,0.06249999999999978,0.05054267687293984
2,39,1.09436053134,13.293178136903,0.14006154697352374,0.11157110059630379,0.18750000000000044,0.1591122082277826
2,40,1.097707784457,31.586913096527,0.362004320499541,0.359005581873314,0.18750000000000044,0.588381252346091
3,1,1.127644957268,11.671985522412,0.047945698074277995,0.05979011566310051,0.0,0.07530567229786353
3,2,1.140482328177,11.575925537763,0.025500503002651963,0.012696745079076352,0.06249999999999978,0.014461466045800111
3,3,1.126393457012,13.797558521131,0.04839509934097569,0.04092984576405218,0.06249999999999978,0.051293420853735235
3,4,1.126446891472,11.043104920494,0.06793474925261071,0.08438528347733766,0.0,0.10761421670037497
3,5,1.112217978065,13.937332772162,0.05431948887378034,0.04456820784456902,0.06249999999999978,0.07090987279633718
3,6,1.130521791656,12.053447707148,0.026493430288005652,0.03264302173109854,0.0,0.042698841679507264
3,7,1.123940690072,10.325030089837,0.1066769264154625,0.11303049447675129,0.06249999999999978,0.14442577226624673
3,8,1.138748708777,11.866293672409,0.02178684531770986,0.008282350927353778,0.06249999999999978,0.008032761538326688
3,9,1.131544009801,12.952151484502,0.016279446667663774,0.019582710299940877,0.0,0.027544780013481453
3,10,1.127291581027,10.698672480276,0.07288429394222695,0.0904591213145511,0.0,0.11565888609611925
3,11,1.115403197924,14.365282861613,0.05481813869824938,0.047342098180988036,0.06249999999999978,0.06577492349353006
3,12,1.128905072591,11.141006926447,0.057078544045864515,0.07136210404033438,0.0,0.08914693411840297
3,13,1.109168497742,12.882867730236,0.07926209306990536,0.07226463488116658,0.06249999999999978,0.11945771942631896
3,14,1.12803148217,12.294457150371,0.029489991783404952,0.03652868303334372,0.0,0.046996080575329516
3,15,1.128215176001,12.096303331226,0.034924373390026645,0.04380784032886478,0.0,0.05415030604575506
3,16,1.134450693134,13.121056060012,0.03972179799640407,0.03131127983644607,0.06249999999999978,0.03437797043179392
3,17,1.137751327256,11.146965065361,0.036260235496919896,0.02616723581906001,0.06249999999999978,0.03121627898218471
3,18,1.123198780745,12.432189306197,0.057435761346347015,0.052648233101412895,0.06249999999999978,0.06427116570284985
3,19,1.132605480253,13.059838441673,0.017783227086685786,0.021459935301029246,0.0,0.029901313355598494
3,20,1.129374590075,12.861751909243,0.019472511692789626,0.023862722495887015,0.0,0.03174007160025884
3,21,1.1023732438,12.517493663039,0.12125503017656589,0.10611105622664067,0.12499999999999956,0.15821974625956808
3,22,1.122146632293,11.536426097316,0.08287636845155202,0.08358855889902088,0.06249999999999978,0.10638830528545298
3,23,1.123294168977,11.969195044886,0.0693994328221165,0.06780851359030034,0.06249999999999978,0.0823987517372568
3,24,1.129181979569,12.883846018985,0.019567007846011324,0.024005068763968254,0.0,0.031821100129143916
3,25,1.136385068706,12.046629466311,0.0026522973597239556,0.0031571377415228934,0.0,0.00457935800943182
3,26,1.139394276615,11.048534026326,0.03549812679929497,0.025042169572296602,0.06249999999999978,0.030499667672659457
